Id,Name,Type,UnitPrice
42dc9358-cb5d-4987-99e0-0cb92632ad35,아인슈페너,coffee,5000
f23c9666-1f3a-44b0-a372-147f62c61a11,카푸치노,coffee,4500
881721b3-748c-4133-86de-6b6f88d96e07,플랫화이트,coffee,5000
b2de5787-cece-4ffb-97c8-588b40b3ceed,플랫화이트,coffee,5000
0fc13f9e-c1d2-4f0d-a1b9-0a9ae7a8502e,소금빵,dessert,2500
b32a24d4-d6a5-46c6-9f64-3cde2ba305e2,소금빵,dessert,2500
9f04becb-c9cb-4400-939f-abeb0772b315,롱블랙,coffee,4000
fe4351c3-b933-4cc8-b17a-55bf543a2050,아인슈페너,coffee,5000
c9e265bf-f4e2-43a6-bff5-917d20cf085e,소금빵,dessert,2500
8be6391c-ae0f-4cc3-850f-45d61a0094a9,바닐라라떼,coffee,4000
